6,8
160,161
180,181
218,219
323,325
326,327
351,353
355,356
363,364
398,399
525,526
582,583
605,606
353,773
843,845
888,889
927,929
1041,1043
1216,1218
1239,1241
1467,1469
1564,1565
1732,1734
1832,1833
1854,1855
1893,1894
1936,1937
1950,887
1994,632
2072,2073
2083,2084
526,2118
2146,2147
2194,2195
773,2252
2277,2278
2323,2324
1162,2350
2393,2394
2418,2419
2458,1854
2490,2492
2568,2570
2680,1883
2750,2751
2920,2888
3011,3013
2751,3016
3107,1467
3205,3207
3299,2468
3304,3305
1241,3383
3423,3424
3432,3434
399,3471
3515,2615
3597,3598
3628,3629
327,3652
845,3670
3814,3816
3875,3876
2417,6
4057,2277
4149,2316
4201,4203
181,4284
2492,4298
4347,4348
4357,4358
606,4529
4620,3597
4693,4694
4742,4743
4767,4768
4774,4775
3471,1936
2252,4641
4882,4883
5145,5146
5183,5184
5186,4543
4694,5408
4203,5670
5690,5691
4775,5797
1937,5830
5861,5862
4529,1155
3858,6061
6076,1162
12,4286
6130,6131
1155,6168
6221,6222
6234,2393
5862,1950
6243,4774
6625,5024
887,6708
6750,6752
6805,3299
6855,6856
4163,6214
8,4535
2419,6973
6983,6984
2084,6989
1565,4163
7023,5183
4516,4620
3816,7084
6856,1041
7254,2928
7294,7295
7324,3205
7328,7330
2350,12
7349,3559
4743,3024
3559,7418
7512,7513
1855,2920
7524,605
7558,1832
7645,7646
6168,7647
7853,7855
6708,8140
8154,6076
2468,2418
8201,8202
5017,7725
4414,8229
3016,4767
8293,2413
8339,2323
8353,8354
2928,2194
3670,8411
8426,1821
161,8444
929,8475
8494,8495
8502,2146
3876,2458
5146,525
3598,8635
8683,8684
8635,1290
8810,8812
226,8293
6984,8154
9024,8059
8812,9103
9159,5481
5797,4149
3207,9193
2195,8923
5408,351
1218,7106
9347,9348
5830,355
583,8426
889,226
9435,3432
2316,843
5481,9498
9521,621
3024,9569
9572,9573
3213,582
2394,4693
4641,4881
8354,7853
4348,6066
5184,218
7781,130
9841,9521
9498,7217
9865,9866
9908,8201
364,6983
5625,4414
2570,10024
4881,7348
10071,7512
325,10109
10024,6898
2118,7558
2147,3515
10298,4057
3013,2417
2278,9841
10342,9159
7477,10378
3424,6985
10517,10519
7348,10565
8684,10572
1469,10628
6985,927
4883,4357
10671,10672
10690,10691
2615,10729
10775,4882
3434,323
1833,10864
1043,5145
10949,7023
10966,7019
7647,4201
8411,6234
10983,2568
8229,8918
8495,6130
621,11024
7106,7645
5836,11066
10565,9347
7418,11172
1821,10671
5670,11197
6989,3011
3652,9572
9103,4516
7513,7254
10672,326
7330,2750
8444,363
4535,5625
8918,7611
11306,7781
11314,2490
3629,3107
356,11366
11398,10342
6944,11438
11439,11398
8109,2919
5691,10690
3383,6221
7339,130
7339,7328
7084,10983
7340,8109
11594,160
9573,9908
10506,11594
10864,2072
8923,6889
10572,3304
7019,4742
1734,1564
11024,3875
5024,5861
10628,6944
9866,1732
4768,5748
11066,7349
1894,3858
2413,2083
11197,1893
6889,4932
7295,7524
2073,7294
10378,10775
4543,8810
10729,11922
2324,8683
4927,11930
9193,10071
7611,9865
11438,8502
7217,10298
6222,7324
4286,6625
1290,4347
8475,5017
11930,7340
4932,5186
4213,6243
1883,6805
10519,3814
12114,1239
11172,8494
11366,1216
6066,10506
4284,5690
2888,12114
4358,6855
7725,7775
3305,5836
8335,180
8140,10966
10109,11306
9348,8335
6973,11439
10691,1994
9569,4927
632,6750
6214,3423
6131,8353
8059,10517
11922,10949
7855,398
4298,9435
8202,2680
219,11314
6061,3628
7086,888
7775,9024
7646,3213
6752,8339
